job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003008740286,Human Resources Manager (1 year contract),CITIC Telecom International CPC Limited,"Admin & HR, HR Director / Manager","Full Time, Contract",,Middle,10 years,Degree,"Education allowance, Gratuity, Life insurance, Medical insurance, Five-day work week"
100003008739720,Account Manager (Japanese Key Accounts),Ricoh Hong Kong Limited,"Sales, CS & Business Devpt, Business Development, Account Servicing, Direct Sales","Full Time, Permanent",,Entry Level,2 years,Degree,"Education allowance, Life insurance, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003008740344,Senior QA Engineer,ASM Technology Hong Kong Limited,"Engineering, Manufacturing & Production","Full Time, Permanent",,Entry Level,1 year,Degree,"Double pay, Education allowance, Medical insurance, Five-day work week, Flexible working hours"
100003008738406,Business Analyst - eCommerce (Asia Digital Projects),A.S. Watson Retail (HK) Limited,"Information Technology (IT), Product Management / Business Analyst, E-commerce, Product Management / Business Analyst","Full Time, Permanent",,Entry Level,2 years,Degree,"Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008733297,Shift Assistant Engineer,The Hong Kong And China Gas Co Ltd,"Engineering, Chemical, Electrical / Electronics, Mechanical","Full Time, Permanent",,Entry Level,3 years,Non-Degree Tertiary,"Dental insurance, Education allowance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus"
100003008732597,Assistant Supply Chain Officer,HeathCo Sourcing Company Limited,"Transportation & Logistics, Documentary Credit / Bills Processing, Shipping, Supply Chain",Full Time,,Entry Level,1 year,School Certificate,"Dental insurance, Double pay, Education allowance, Life insurance, Medical insurance, Five-day work week"
100003008735065,Customer Service Officer / Membership Counter Officer,Betterment Asia Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer","Part Time, Temporary, Freelance",,Entry Level,N/A,School Certificate,"Overtime pay, Performance bonus"
100003008739526,System Analyst / Analyst Programmer,TransUnion Limited,"Information Technology (IT), Application Specialist - Software, Software Development, Technical Writing","Full Time, Permanent",,Entry Level,3 years,Degree,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003008736839,"Training Officer, Hong Kong",PCCW Limited - now TV,"Admin & HR, Training & Development",Full Time,,Entry Level,1 year,Degree,"Medical insurance, Five-day work week"
100003008736969,Production Site Operator,Nanoshields Technology Limited,"Sciences, Lab, R&D, Laboratory, Research & Development (R&D)",Permanent,,Middle,1 year,Degree,"Life insurance, Medical insurance, Performance bonus"
100003008739055,IS Support Officer,G4S (Hong Kong - Holding) Limited,"Information Technology (IT), Application Specialist - Software, Support, Application Specialist - Network","Full Time, Contract",,Entry Level,2 years,Matriculated,"Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008739435,"Field Engineer/ Senior Engineer, IT",ServiceOne Limited,"Information Technology (IT), Hardware, Support, Network & System","Full Time, Permanent",,Entry Level,1 year,Matriculated,"Education allowance, Life insurance, Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003008717838,Immigration Assistant,Professional Visa Services Limited,"Professional Services, Business Consultancy",Full Time,,Entry Level,N/A,Degree,"Performance bonus, Five-day work week"
100003008733186,Customer Service Coordinator,A-TEX Asia Limited,"Merchandising & Purchasing, Others","Full Time, Permanent",,Middle,2 years,Non-Degree Tertiary,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737522,Technical Engineer (Network and Cybersecurity),NexLen Internationl Limited,"Information Technology (IT), Support, Application Specialist - Network, Network & System","Full Time, Permanent",,,N/A,School Certificate,"Medical insurance, Performance bonus"
100003008735477,Shipping Officer (Full-time / Part-time),Baroque HK Limited,"Transportation & Logistics, Shipping","Full Time, Part Time, Permanent, Temporary",,Entry Level,2 years,School Certificate,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003008736611,Project Coordinator,Ample Construction Company Limited,"Building & Construction, Architectural Services, Building / Construction / QS, Civil / Structural","Full Time, Permanent",,Entry Level,2 years,School Certificate,"Education allowance, Medical insurance, Performance bonus"
100003008732320,文書助理  Clerical Assistant,The Incorporated Management Committee of Methodist School,"Admin & HR, Clerical / Admin Staff, Secretary, Education, Others",Full Time,,Entry Level,N/A,School Certificate,
100003008737804,Sales Support Officer,Manulife (International) Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Marketing / Public Relations, Marketing - General / Support, Sales Administration","Full Time, Permanent",,Entry Level,N/A,Degree,"Dental insurance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737655,PMC Manager - Toys (Vietnam),Yeko Trading Limited,"Manufacturing, Manufacturing Management",Full Time,,Senior,10 years,Non-Degree Tertiary,
100003008737943,Technical Officer,Yau Lee Holdings Limited,"Building & Construction, Architectural Services, Building / Construction / QS, Engineering, Draftsman","Full Time, Permanent",,Entry Level,3 years,School Certificate,
100003008737036,Clerk,Brixon Overseas Ltd,"Merchandising & Purchasing, Woven / Knit","Full Time, Permanent",,Entry Level,N/A,School Certificate,"Double pay, Free shuttle bus, Medical insurance, Five-day work week"
100003008737494,System Analyst (SA),MIT Technology System Limited,"Information Technology (IT), Software Development",Full Time,,Middle,5 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003008738893,Contract Property Services Officers,Pioneer Management Limited,"Property / Real Estate, Property Management, Others",Contract,,Entry Level,1 year,School Certificate,Five-day work week
