job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003008738018,ADMINISTRATION ASSISTANT,Marigold International Financial Group Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Middle,2 years,Non-Degree Tertiary,Five-day work week
100003008739050,FINANCE MANAGER,Bonaventure Properties Ltd,"Accounting, Finance / Accounting Manager","Full Time, Permanent",,Senior,8 years,Degree,
100003008738216,Accountant,Shougang Concord Grand (Group) Limited,"Accounting, Accountant, Audit, Others",Full Time,,Middle,2 years,Degree,"Dental insurance, Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008739734,Project Executive - Social Media / Digital Marketing,Rabbit Studio Limited,"Media & Advertising, Editorial / Journalism, Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Copy-writing",Full Time,,Entry Level,N/A,Degree,"Medical insurance, Five-day work week, Flexible working hours"
100003008734203,Customer Service Officer,Hilti (HK) Ltd,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Others, Student / Fresh Graduate / No Experience","Full Time, Permanent",,Entry Level,1 year,Degree,"Dental insurance, Education allowance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus"
100003008740113,Administrative Assistant - Transcription Services,"EPIQ Hong Kong, Limited","Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,2 years,Postgraduate,"Life insurance, Medical insurance, Five-day work week"
100003008739092,Receptionist and Administration Assistant,On Stage Production and Consultant Limited,"Admin & HR, Clerical / Admin Staff, Marketing / Public Relations, Public Relations - General / Support","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Medical insurance, Performance bonus, Five-day work week"
100003008738153,Administration Officer,Hong Kong Logistics Association,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,1 year,Non-Degree Tertiary,Five-day work week
100003008738861,Production Assistant (Internship),The Garage Limited,"Media & Advertising, Others","Part Time, Internship, Freelance",,,,,
100003008740197,Administrative Clerk - 行政文員,Hazedawn Limited,"Admin & HR, Clerical / Admin Staff, Receptionist, Others",Full Time,,Entry Level,,School Certificate,Five-day work week
100003008738073,Video Editor (Part-time/Freelance),The Garage Limited,"Media & Advertising, Creative / Design, Production, Photography / Video","Part Time, Temporary, Internship, Freelance",,,1 year,Non-Degree Tertiary,
100003008738103,影片編輯及製作 (Production and Video Editor),Tung Lin Kok Yuen,"Media & Advertising, Production, Others, Photography / Video","Full Time, Contract",,Entry Level,2 years,Non-Degree Tertiary,"Education allowance, Medical insurance, Five-day work week, Flexible working hours"
100003008737633,Administration Officer,Mighty Divine (HK) Limited,"Admin & HR, Administration / Operation Manager, Clerical / Admin Staff, Others","Full Time, Permanent",,,,,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008740306,Department Secretary/ Executive Assistant,China Merchants Securities International Company Limited,"Admin & HR, Personal / Executive Assistant, Secretary, Others","Full Time, Permanent",,Middle,5 years,Degree,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737358,行政幹事 (Ref : CC-NON-AE),S.K.H. Holy Carpenter Church Community Centre,"Admin & HR, Clerical / Admin Staff, Training & Development, Public / Civil, Social Services - Community / Non-profit Organization","Full Time, Permanent",,Entry Level,1 year,School Certificate,Five-day work week
100003008739282,PR Assistant / Event Helper (Part-time),Red Asia Communications Limited,"Marketing / Public Relations, Public Relations - Copy-writing, Public Relations - Event Management, Public Relations - General / Support",Part Time,,Entry Level,N/A,Non-Degree Tertiary,
100003008739560,Accountant,"H.R.Woodward Foods (Asia) Co., Limited","Accounting, Accountant, Accounting Clerk / Supervisor, Financial Analyst","Full Time, Permanent",,Middle,5 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737883,Administrative Clerk,Profit Luck Business Consultancy Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,2 years,School Certificate,"Free shuttle bus, Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003008739378,"Assistant Officer -  Campus Administration, HKIC",Hong Kong Institute of Construction,"Admin & HR, Clerical / Admin Staff, Secretary, Marketing / Public Relations, Others","Full Time, Contract",,Entry Level,1 year,Degree,
100003008737498,Administrative Assistance,MIT Technology System Limited,"Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant, HR Supporting Staff","Full Time, Permanent",,Entry Level,,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003008739097,行政主任 Administrative Officer,The Association of Electrical and Mechanical Engineering (Hong Kong) Limited,"Admin & HR, Clerical / Admin Staff, Education, Others",Full Time,,Middle,3 years,Non-Degree Tertiary,"Education allowance, Performance bonus, Five-day work week"
100003008738650,Product Assistant (Fashion) / 辦公室文員 (時裝產品),YesStyle.com Limited,"Admin & HR, Clerical / Admin Staff, Others, Merchandising & Purchasing, Procurement / Purchasing / Sourcing","Full Time, Permanent",,Entry Level,N/A,School Certificate,"Dental insurance, Life insurance, Medical insurance, Five-day work week"
100003008737143,Marketing Executive,Buick Management Limited,"Hospitality / F & B, Food & Beverage, Marketing / Public Relations, Management, Marketing - Brand / Product Management","Full Time, Permanent",,Middle,2 years,,Five-day work week
100003008740237,Administrative Officer,A Little Bit More Trading Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,N/A,School Certificate,"Medical insurance, Performance bonus"
100003008739374,Sourcing and Administration Officer,Cheung Hing Lifting Components (Hong Kong) Limited,"Admin & HR, Clerical / Admin Staff, Others, Merchandising & Purchasing, Procurement / Purchasing / Sourcing","Full Time, Permanent",,Entry Level,,Matriculated,"Medical insurance, Performance bonus"
100003008737242,Administrative Assistant,Isola Capital Limited,"Admin & HR, Administration / Operation Manager, Clerical / Admin Staff, Receptionist","Full Time, Permanent",,Middle,3 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008734714,Sr. Customer Services Officer / Customer Services Officer,Cityline (Hong Kong) Limited,"Sales, CS & Business Devpt, Call Centre, Others","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737807,編輯 Online Editor,New Media Group Publishing Limited,"Media & Advertising, Others, Editorial / Journalism","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008738600,Programme Officer,The Women's Foundation,"Education, Others, Marketing / Public Relations, Public Relations - Event Management, Public / Civil, Social Services - Community / Non-profit Organization",Full Time,,Entry Level,N/A,Degree,"Dental insurance, Medical insurance, Performance bonus, Work from home, Five-day work week, Flexible working hours"
100003008738071,BOOKKEEPER/ACCOUNTING ASSISTANT,Kelly+Partners,"Accounting, Accounting Clerk / Supervisor",Full Time,,Entry Level,2 years,Non-Degree Tertiary,"Education allowance, Medical insurance, Five-day work week"
100003008738879,Graphic Designer,Ameba Design Limited,"Design, Graphics","Full Time, Part Time, Temporary, Freelance",,Entry Level,1 year,Non-Degree Tertiary,"Performance bonus, Five-day work week"
100003008737799,Administrative Clerk (5 days work),B & T Engineering Ltd,"Admin & HR, Clerical / Admin Staff, Receptionist, Others","Full Time, Permanent",,Entry Level,2 years,School Certificate,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008735549,Marketing  Assistant/ Marketing  Executive,Soloman Global Development Limited,"Marketing / Public Relations, Management, Marketing - Brand / Product Management, Marketing - Marketing Communication","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Double pay, Medical insurance, Overtime pay, Performance bonus, Travel allowance, Five-day work week"
100003008739522,娛樂內容編輯,Bastille Post Company Limited 《巴士的報》,"Media & Advertising, Production, Others, Editorial / Journalism","Full Time, Permanent",,Entry Level,,Degree,"Dental insurance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus"
100003008738001,Site Clerk,Gammon Construction Ltd,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,1 year,School Certificate,
100003008738856,Marketing Executive,Marvelconnect Technology Limited,"Marketing / Public Relations, Marketing - Direct Marketing, Marketing - Market Research, Marketing - Marketing Communication",Full Time,,Middle,2 years,Non-Degree Tertiary,"Free shuttle bus, Medical insurance, Five-day work week"
100003008734774,Administration Officer / Assistant Administration Officer,Citybase Property Management Limited,"Admin & HR, Clerical / Admin Staff, Secretary, Others","Full Time, Permanent",,Middle,3 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003008740251,Content Marketing Executive,Hypebeast Hong Kong Limited,"Marketing / Public Relations, Marketing - Marketing Communication, Digital Marketing, E-commerce, Marketing - Brand / Product Management",Full Time,,,,,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008739423,Personal Assistant to Director,Offset Printing Limited,"Admin & HR, Personal / Executive Assistant, Secretary, Manufacturing, Printing","Full Time, Permanent",,Middle,5 years,Non-Degree Tertiary,Five-day work week
100003008736711,Executive Assistant,Four Seas Mercantile Ltd,"Admin & HR, Secretary, Others, Others, Junior Executive","Full Time, Permanent",,Entry Level,1 year,Degree,"Double pay, Medical insurance"
100003008739654,Customer Service Clerk,Global Fine Foods Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Hospitality / F & B, Food & Beverage","Full Time, Permanent",,Entry Level,1 year,School Certificate,Five-day work week
100003008738882,Human Resources Officer,The Great Eagle Group of Companies,"Admin & HR, Clerical / Admin Staff, Compensation & Benefits, HR Supporting Staff","Full Time, Contract",,Middle,2 years,Non-Degree Tertiary,"Education allowance, Medical insurance, Overtime pay, Five-day work week"
100003008734560,Accounting and Admin Officer,Sabatino Hong Kong Limited,"Accounting, Accounting Clerk / Supervisor, Others, Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Middle,5 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003008740117,Content Creator/ Social Media Editor,Networld Technology Limited,"Media & Advertising, Others, Editorial / Journalism, Marketing / Public Relations, Public Relations - Copy-writing","Full Time, Permanent",,Entry Level,,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003008739979,Admin Assistant (Receptionist),"Hong Kong Homily Co., Limited","Admin & HR, Clerical / Admin Staff, Receptionist","Full Time, Permanent",,Entry Level,1 year,Degree,Performance bonus
100003008734008,Administrative Assistant,Laboratory for AI-Powered Financial Technologies Limited,"Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant, Others",Full Time,,Entry Level,N/A,(N/A),"Dental insurance, Medical insurance, Five-day work week"
100003008738863,Accounting Manager,Sante Healthcare Alliance International Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Finance / Accounting Manager","Full Time, Permanent",,Senior,10 years,Non-Degree Tertiary,"Medical insurance, Five-day work week"
100003008733711,Administrative Assistant (Ref No: VCHK/JDB/AA/0913),Verity Consulting Limited,"Admin & HR, Clerical / Admin Staff, Others","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Education allowance, Medical insurance, Performance bonus, Five-day work week"
100003008737281,Event Marketing Officer / Assistant,Buylive Technology Hong Kong Limited,"Media & Advertising, Strategic Planning, Marketing / Public Relations, Public Relations - Event Management, Broadcasting - TV / Radio",Full Time,,,,,"Dental insurance, Performance bonus, Transportation allowance, Work from home, Five-day work week, Flexible working hours"
100003008738042,Assistant Administration Officer,Best Come Limited (Eaton Club),"Admin & HR, Clerical / Admin Staff, Others, Hospitality / F & B, Others","Full Time, Permanent",,Middle,2 years,,"Medical insurance, Performance bonus, Five-day work week"
100003008737847,Assistant Client Experience Manager,Best Come Limited (Eaton Club),"Admin & HR, Administration / Operation Manager, Receptionist, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer","Full Time, Permanent",,Middle,3 years,Degree,"Education allowance, Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003008738515,Finance Manager,Delmar International (Hong Kong) Limited,"Accounting, Finance / Accounting Manager, Financial Analyst, Financial Controller","Full Time, Permanent",,Senior,8 years,Degree,"Double pay, Medical insurance, Five-day work week"
100003008738430,倉務文員(屯門),喬達國際貨運(香港)有限公司,"Admin & HR, Clerical / Admin Staff, Transportation & Logistics, Others, Inventory / Warehousing",Part Time,,,,,
100003008739060,Personal Assistant,Wah Kwong Shipping Agency Co Ltd,"Admin & HR, Personal / Executive Assistant","Full Time, Permanent",,,,,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008738530,Administrative Officer,United Christian Nethersole Community Health Service,"Admin & HR, Clerical / Admin Staff, Medical Services, Others, Public / Civil, Social Services - Community / Non-profit Organization","Full Time, Contract",,Entry Level,3 years,Degree,Education allowance
100003008738324,Customer Service Executive,Cellarmaster Wines (H.K.) Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, E-commerce, Business Development",Full Time,,Entry Level,2 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003008734578,Purchasing Clerk 採購部文員 ( 5 day work),Wright Life Pharmaceutical Limited,"Admin & HR, Clerical / Admin Staff, Receptionist, Others",Full Time,,Entry Level,,,Five-day work week
100003008739648,Shipping Clerk,Franco Vago Air & Sea Services Limited,"Admin & HR, Clerical / Admin Staff, Transportation & Logistics, Others, Shipping",Full Time,,Entry Level,1 year,,
100003008737803,Receptionist (HK Island),Jones Lang LaSalle Ltd,"Admin & HR, Clerical / Admin Staff, Receptionist, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer","Full Time, Permanent",,Entry Level,2 years,Matriculated,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008739643,Secretary,ORIENTAL HUMAN RESOURCES LIMITED,"Accounting, Others, Admin & HR, Personal / Executive Assistant, Secretary",Full Time,,Middle,N/A,Non-Degree Tertiary,Five-day work week
100003008738233,HR and Admin Officer,Playright Children's Play Association,"Admin & HR, Clerical / Admin Staff, Secretary, HR Supporting Staff",Full Time,,Middle,2 years,Non-Degree Tertiary,"Dental insurance, Education allowance, Medical insurance, Transportation allowance, Five-day work week, Flexible working hours"
100003008738451,CS Clerk,Coretek Limited,"Admin & HR, Clerical / Admin Staff, Others, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Medical insurance, Performance bonus, Five-day work week"
100003008737374,Secretary,Texwinca Holdings Ltd,"Admin & HR, Secretary",Full Time,,Middle,5 years,,"Dental insurance, Double pay, Life insurance, Medical insurance, Five-day work week"
100003008738353,Company Secretarial Assistant,Tri-Pros CPA Limited,"Admin & HR, Secretary",Full Time,,Entry Level,1 year,Non-Degree Tertiary,"Double pay, Medical insurance, Five-day work week"
100003008740330,Regional Sales & Marketing Administrative Assistant / Coordinator,Agence France-Presse,"Sales, CS & Business Devpt, Sales Administration",Full Time,,,N/A,,"Medical insurance, Five-day work week"
100003008738454,文員 / 批發文員 (Clerk / Wholesaling clerk),Teledevice Company Limited,"Accounting, Accounting Clerk / Supervisor, Admin & HR, Clerical / Admin Staff, Others","Full Time, Permanent",,,,,
100003008735991,Customer Service Officer (Full-time / Part-time / Temporary),The Hong Kong And China Gas Co Ltd,"Sales, CS & Business Devpt, Call Centre, Customer Service - Supervisor / Officer, Account Servicing","Full Time, Part Time, Temporary",,Entry Level,1 year,Matriculated,"Life insurance, Medical insurance, Overtime pay, Performance bonus, Flexible working hours"
100003008739995,Store Administrator/ Document Signing Specialist (1 Year Contract to start),Tesla Motors HK Limited,"Admin & HR, Clerical / Admin Staff, Receptionist, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer","Full Time, Contract",,,,,Five-day work week
100003008738210,Secretary,KOA International Limited,"Admin & HR, Personal / Executive Assistant, Secretary, Sales, CS & Business Devpt, Business Development",Full Time,,Middle,3 years,Degree,Five-day work week
100003008735255,Administrative Officer,Christian Alliance International School,"Admin & HR, Clerical / Admin Staff, Receptionist, Others","Full Time, Permanent",,Entry Level,2 years,Degree,"Dental insurance, Life insurance, Medical insurance, Five-day work week"
100003008738522,Assistant Accounting Officer,Hong Kong L.P. Gas (Holdings) Limited,"Accounting, Accountant, Accounting Clerk / Supervisor, Others","Full Time, Permanent",,Middle,3 years,Non-Degree Tertiary,Medical insurance
100003008739945,Project Executive (Creative Agency),Aves Asia Limited,"Marketing / Public Relations, Public Relations - Event Management","Full Time, Permanent",,Entry Level,2 years,(N/A),"Performance bonus, Five-day work week"
100003008738287,Administration Assistant (Full-time / Part-time),KOA International Limited,"Admin & HR, Clerical / Admin Staff, Receptionist, Sales, CS & Business Devpt, Sales Administration",Full Time,,Middle,1 year,Degree,
100003008740245,Senior Event & Marketing Officer,Parsons Music Corporation,"Media & Advertising, Strategic Planning, Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Event Management","Full Time, Freelance",,Middle,4 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003008737343,總裁 / 行政助理 (Personal /Executive  Assistant),Power Express International Trading Limited,"Admin & HR, Personal / Executive Assistant, Merchandising & Purchasing, Handbag, Sales, CS & Business Devpt, Sales Administration",Full Time,,,,,"Medical insurance, Performance bonus"
100003008738412,Junior Secretary/Administrative Assistant,Lee & Man Paper Manufacturing Limited,"Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant, Secretary","Full Time, Permanent",,Entry Level,1 year,Degree,
100003008738007,Administration Officer,Keysen Property Management Services Limited,"Admin & HR, Clerical / Admin Staff, Others, Property / Real Estate, Property Management","Full Time, Permanent",,Middle,5 years,Non-Degree Tertiary,"Education allowance, Medical insurance, Overtime pay, Five-day work week"
100003008738535,Clerk,Tradelink Electronic Commerce Ltd,"Admin & HR, Clerical / Admin Staff, Others, Others","Full Time, Permanent",,,,,"Double pay, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003008739254,Marketing Assistant/Officer,Trinity Medical Centre Limited,"Marketing / Public Relations, Management, Digital Marketing, E-commerce, Business Development",Full Time,,,,,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008738614,CLERK,SOGO Hong Kong Co Ltd,"Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,,,,Medical insurance
100003008739555,Assistant HR Officer,Anglo-Eastern Ship Management Limited,"Admin & HR, HR Supporting Staff","Full Time, Permanent",,Entry Level,2 years,Degree,"Dental insurance, Double pay, Medical insurance, Five-day work week, Flexible working hours"
100003008739347,Clerk,TUV Rheinland Hong Kong Limited,"Admin & HR, Clerical / Admin Staff, Others, Sciences, Lab, R&D, Laboratory","Full Time, Permanent",,,,,"Double pay, Life insurance, Medical insurance, Overtime pay, Performance bonus, Five-day work week"
100003008738359,Retails Operation Executive,Re:echo Asia Pacific Limited,"Sales, CS & Business Devpt, Retail Sales, Sales - Sales Management, Sales Administration",Full Time,,Middle,2 years,Postgraduate,"Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008739169,Part-time admin manager,ideali Limited,"Admin & HR, Administration / Operation Manager, Clerical / Admin Staff, Secretary",Part Time,,Middle,5 years,(N/A),"Overtime pay, Work from home, Flexible working hours"
100003008738436,倉務文員(天水圍),喬達國際貨運(香港)有限公司,"Admin & HR, Clerical / Admin Staff, Transportation & Logistics, Others, Inventory / Warehousing",Part Time,,,,,
100003008738868,"Senior Operation Officer, Marketing",Hong Kong International Aviation Academy Limited,"Transportation & Logistics, Aviation Services, Marketing / Public Relations, Marketing - Marketing Communication","Full Time, Permanent",,Entry Level,3 years,Degree,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008739782,Corporate Events Assistant,Untitled Limited,"Media & Advertising, Account Servicing, Marketing / Public Relations, Public Relations - Event Management, Sales, CS & Business Devpt, Channel / Distribution",Full Time,,Middle,1 year,Non-Degree Tertiary,"Double pay, Medical insurance, Performance bonus"
100003008738312,E-commerce Sales Officer,Re:echo Asia Pacific Limited,"Sales, CS & Business Devpt, Wholesale, E-commerce, Business Development, Marketing - Brand / Product Management",Full Time,,Senior,3 years,Degree,"Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008739188,Senior HR & Admin Executive,JEB Furniture Solutions Limited,"Admin & HR, Clerical / Admin Staff, HR Supporting Staff",Full Time,,Entry Level,3 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003008739397,Retail Operations Officer,Shilla Travel Retail Hong Kong Limited,"Sales, CS & Business Devpt, Others, Sales Administration",Full Time,,Entry Level,2 years,,"Double pay, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003008738583,Administrative/HR Assistant (5-day Week),Sheenway (Hong Kong) Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Middle,2 years,Matriculated,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008740083,Administrative and Accounts Assistant,Hau Lau Li & Yeung Solicitors,"Accounting, Accounting Clerk / Supervisor, Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,2 years,School Certificate,
100003008737892,Assistant Finance Manager,DFI Retail Group DFI零售集團,"Accounting, Finance / Accounting Manager",Permanent,,Middle,5 years,Degree,
100003008737933,Accounts Clerk,Arcticold Food Limited,"Accounting, Accounting Clerk / Supervisor, Admin & HR, Clerical / Admin Staff, Sales, CS & Business Devpt, Retail Sales","Full Time, Permanent",,Entry Level,1 year,School Certificate,"Double pay, Medical insurance, Five-day work week"
100003008739256,Officer (Corporate Communications),Café de Coral Group Limited,"Marketing / Public Relations, Public Relations - Copy-writing, Public Relations - Event Management, Public Relations - General / Support","Full Time, Permanent",,Entry Level,1 year,Degree,"Housing allowance, Medical insurance, Performance bonus, Five-day work week"
100003008739600,Human Resources Officer (Chinese and Western Cuisine),Maxim's Caterers Ltd,"Admin & HR, Clerical / Admin Staff, Others, Recruitment / Executive Search","Full Time, Permanent",,Entry Level,2 years,Degree,
100003008737889,Administrative Officer (Production Department),Wellcome,"Admin & HR, Clerical / Admin Staff, Others, Transportation & Logistics, Others","Full Time, Permanent",,Entry Level,N/A,School Certificate,"Dental insurance, Double pay, Free shuttle bus, Medical insurance"
100003008739106,Administrative Officer - Secretarial and Admin Support,Café de Coral Group Limited,"Admin & HR, Clerical / Admin Staff, Secretary, Sales, CS & Business Devpt, Sales Administration","Full Time, Permanent",,Entry Level,1 year,Matriculated,"Medical insurance, Performance bonus, Five-day work week"
100003008739516,Assistant Manager (Administration) – CSR & Communication (Ref: GEN-AD-AMA-JD),"The Hongkong Electric Co., Ltd","Admin & HR, Clerical / Admin Staff, Others","Full Time, Permanent",,Middle,10 years,Degree,"Double pay, Free shuttle bus, Life insurance, Medical insurance"
100003008738045,Customer Service Officer,Cosway (HK) Limited,"Sales, CS & Business Devpt, Business Development, Customer Service - Supervisor / Officer",Full Time,,Entry Level,2 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003008739541,Public Relations Officer,Ricacorp Properties Limited,"Marketing / Public Relations, Public Relations - General / Support",Full Time,,,,,"Education allowance, Medical insurance, Five-day work week"
100003008734979,Operation Assistant/Clerk,Venus Technology Limited,"Admin & HR, Administration / Operation Manager, Information Technology (IT), Support, E-commerce, Software Development",Full Time,,Entry Level,1 year,Postgraduate,"Double pay, Medical insurance, Performance bonus, Transportation allowance, Five-day work week, Flexible working hours"
100003008738399,Office Administrator,Sun Life Hong Kong Ltd,"Admin & HR, Clerical / Admin Staff, Others, Insurance, Others","Full Time, Permanent",,Entry Level,2 years,Non-Degree Tertiary,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737380,E-commerce Sales & Marketing Officer / Executive (Ref: C&K20210914),C&K Jewellery Limited,"Manufacturing, Jewelry, Marketing / Public Relations, Digital Marketing, Sales, CS & Business Devpt, Sales Administration",Full Time,,Entry Level,1 year,Degree,"Medical insurance, Performance bonus"
100003008737335,Temporary Executive Assistant (Facilities Management) (Ref: 21001KE),Hong Kong Metropolitan University,"Education, Others",Temporary,,,,,
100003008739155,Customer Service Specialist / Senior Customer Service Specialist,CMRS Digital Solutions Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer",Full Time,,,,,"Dental insurance, Medical insurance, Performance bonus"
100003008739445,熱線客戶服務員 Hotline Customer Serivce Officer (五天工作/大量招聘),ADECCO,"Sales, CS & Business Devpt, Call Centre",Full Time,,Entry Level,1 year,School Certificate,"Dental insurance, Double pay, Gratuity, Five-day work week, Flexible working hours"
100003008738383,Clerk (Site Administration),Vanke Holdings (Hong Kong) Company Limited,"Admin & HR, Clerical / Admin Staff, Property / Real Estate, Others, Building & Construction, Others","Full Time, Permanent",,Entry Level,3 years,School Certificate,"Dental insurance, Life insurance, Medical insurance, Performance bonus"
100003008737650,Administration & HR Assistant Officer,Castco Testing Centre Ltd,"Admin & HR, Clerical / Admin Staff, HR Supporting Staff, Recruitment / Executive Search","Full Time, Permanent",,Entry Level,N/A,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003008737944,Publicity Officer,Television Broadcasts Limited (TVB),"Marketing / Public Relations, Marketing - General / Support, Public Relations - Event Management, Public Relations - General / Support","Full Time, Permanent",,Entry Level,1 year,Degree,"Free shuttle bus, Life insurance, Medical insurance, Five-day work week"
100003008739640,工程文員,Luen Hing Technical Limited,"Admin & HR, Administration / Operation Manager, Clerical / Admin Staff, Engineering, Others",Full Time,,Entry Level,2 years,School Certificate,
100003008740247,Marketing Coordinator / Marketing Campaign Assistant,Peplink International Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Direct Marketing, Public Relations - Event Management","Full Time, Permanent",,Entry Level,N/A,Degree,"Double pay, Medical insurance, Five-day work week, Flexible working hours"
100003008740266,Accounting Officer (1-year contract),"Allied World Assurance Company, Ltd","Accounting, Accountant, Accounting Clerk / Supervisor","Full Time, Temporary, Contract",,Entry Level,3 years,Non-Degree Tertiary,Five-day work week
100003008737761,Admin Clerk(14-15K),Beeni Impex Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,,School Certificate,Double pay
100003008087231,Account Executive,Velvet Limited,"Marketing / Public Relations, Marketing - Marketing Communication, Sales, CS & Business Devpt, Account Servicing, Sales Administration",Full Time,,,,,"Dental insurance, Medical insurance, Five-day work week"
100003008739492,Accounting Manager,Master Communications Limited,"Accounting, Finance / Accounting Manager","Full Time, Permanent",,Senior,8 years,Degree,"Dental insurance, Education allowance, Free shuttle bus, Medical insurance, Performance bonus, Five-day work week"
100003008737779,Project Assistant,Hong Kong Family Welfare Society,"Marketing / Public Relations, Marketing - General / Support","Full Time, Contract",,Entry Level,1 year,Non-Degree Tertiary,Medical insurance
100003008738476,Design Assistant (Part-time),Esquel Enterprises Limited,"Design, Fashion, Graphics, Industrial / Product",Part Time,,,,,
100003008737313,Marketing Officer,"Panasonic Life Solutions (Hong Kong) Co., Limited","Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - General / Support, Digital Marketing","Full Time, Permanent",,Middle,5 years,Degree,"Double pay, Education allowance, Life insurance, Medical insurance, Performance bonus, Travel allowance, Five-day work week, Flexible working hours"
100003008739540,HR Clerk,Ricacorp Properties Limited,"Admin & HR, HR Supporting Staff",Full Time,,,,,"Education allowance, Medical insurance, Five-day work week"
100003008725445,Clerk / Project Secretary,Sunnic Engineering Limited,"Admin & HR, Clerical / Admin Staff, Secretary, Others","Full Time, Permanent",,Entry Level,2 years,School Certificate,
100003008737968,Customer Service Officer (Ecommerce),91App HK Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, E-commerce, Others",Full Time,,Entry Level,2 years,Non-Degree Tertiary,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008737521,Multimedia Designer,NexLen International Limited,"Design, Graphics, Multi-media, Web Designer","Full Time, Permanent",,Entry Level,,School Certificate,"Medical insurance, Performance bonus"
100003008734508,Administrative Clerk,Peaceful Insurance Agency Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Entry Level,1 year,Matriculated,"Medical insurance, Performance bonus, Five-day work week"
